id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15646546,"Great apt, Next to 1 train.",98235552,Ali,Manhattan,Harlem,40.82364,-73.9533,Private room,60,3,0,,,1,0
15646864,Williamsburg / Greenpoint 1500 square foot apt,8712217,Tim,Brooklyn,Greenpoint,40.72667,-73.95221,Entire home/apt,200,4,0,,,1,0
15647143,Lovely 2 Bedroom with Balcony on UWS,531006,Kaya,Manhattan,Upper West Side,40.79039,-73.96789,Entire home/apt,180,4,9,2018-07-22,0.37,1,0
15647980,"CLEAN,  PRIVATE ROOM CLOSE TO THE CITY AND JFK.",100970583,Maria,Queens,Woodhaven,40.68774,-73.8593,Private room,50,4,82,2019-06-11,2.52,2,215
15648008,Sunny studio loft in Brooklyn,18727732,Michelle,Brooklyn,Williamsburg,40.71783,-73.94104,Entire home/apt,160,3,12,2019-05-27,0.93,1,0
15648096,Spacious 2 bedroom close to Manhattan,100971588,,Bronx,Highbridge,40.83844,-73.92489,Entire home/apt,75,4,37,2019-07-07,1.21,1,26
15648413,"MUSEUM MILE, CENTRAL PARK & SUBWAY in #1 LOCATION!",80262218,Laila,Manhattan,Upper East Side,40.77117,-73.95599,Entire home/apt,145,30,5,2019-05-27,0.23,3,177
15648993,Brooklyn Historic Brownstone with Garden,57125089,Lauren & Anthony,Brooklyn,Bedford-Stuyvesant,40.68118,-73.91107,Entire home/apt,119,2,152,2019-06-24,4.68,1,14
15649021,"Cool private room in Astoria, New York!",14422390,Bill,Queens,Astoria,40.76625,-73.93295,Private room,49,1,12,2017-07-19,0.37,1,0
15655332,Spacious Brooklyn Loft Apartment & Rooftop Deck,36743809,Hilary,Brooklyn,Williamsburg,40.71443,-73.94153,Entire home/apt,300,2,2,2016-11-26,0.06,1,310
15657915,Beautiful modern room in SoHo,1475812,Ignani,Manhattan,Nolita,40.71995,-73.99461,Private room,140,2,66,2019-05-31,2.05,3,44
15658350,Large Brooklyn loft close to everything,432149,Cressida,Brooklyn,Bedford-Stuyvesant,40.69905,-73.94451,Entire home/apt,98,2,0,,,1,0
15659634,Carroll Gardens guest suite,8977158,Viki,Brooklyn,Carroll Gardens,40.68321,-73.99681,Entire home/apt,199,2,116,2019-06-23,3.78,2,230
15659743,Super Cute Garden Apartment in Bed-Stuy!,62256292,Inez,Brooklyn,Bedford-Stuyvesant,40.6804,-73.93648,Entire home/apt,125,3,91,2019-07-01,2.8,1,78
15659791,Lovely studio near Grand Central /You will love it,1475015,Mike,Manhattan,Midtown,40.75105,-73.97045,Entire home/apt,95,30,0,,,52,297
15660209,HUGE CHEERFUL PRIVATE STUDIO SUITE WITH BACKYARD,21640001,Anna,Queens,Rego Park,40.7184,-73.86015,Entire home/apt,95,2,7,2017-09-03,0.23,1,345
15663344,Cozy Private Room in Williamsburg/Greenpoint Loft,20691787,Jeanne & Sara,Brooklyn,Greenpoint,40.72482,-73.95408,Private room,60,1,92,2018-12-23,2.85,1,0
15663513,Townhouse South-facing ensuite,68094795,Diane And Ward,Manhattan,Upper East Side,40.76754,-73.96166,Entire home/apt,249,3,55,2019-06-30,1.75,2,1
15663543,2 Bedrooms with room for 4,48498971,Adam,Brooklyn,Crown Heights,40.67741,-73.95386,Entire home/apt,160,30,2,2018-11-23,0.09,1,0
15663586,Hudson Yards-Chelsea  ️,101131690,Alberto,Manhattan,Hell's Kitchen,40.75751,-73.99401,Entire home/apt,175,1,22,2019-07-02,1.04,1,12
15663603,Comfy Private Room in Hamilton Heights,101131904,Tarirai,Manhattan,Harlem,40.83124,-73.94501,Private room,40,2,59,2019-06-23,1.9,1,39
15663646,Big furnished bedroom Williamsburg,844442,Sarah,Brooklyn,Williamsburg,40.70758,-73.94197,Private room,115,2,0,,,1,0
15663653,"In-law unit - bedroom, living room, mini kitchen.",2305944,Misha,Brooklyn,Prospect-Lefferts Gardens,40.66082,-73.94532,Entire home/apt,79,5,48,2019-02-23,1.64,1,0
15664037,Flatiron / Gramercy 2 Bed Studio,22067387,Blake,Manhattan,Flatiron District,40.7385,-73.98782,Entire home/apt,236,1,23,2017-07-24,0.71,1,0
15664673,Big room in the heart of Chelsea.,86408170,Malin,Manhattan,Chelsea,40.74368,-73.99825,Private room,120,1,1,2016-10-27,0.03,1,0
15665152,Charming 2-Bedroom Brownstone Garden Level Apt.,19282734,Eric,Brooklyn,Bedford-Stuyvesant,40.68134,-73.92226,Entire home/apt,120,3,117,2019-06-18,3.6,1,232
15665469,Sunny and cozy bedroom in Ditmas Park,8832456,Ubi,Brooklyn,Kensington,40.64381,-73.97018,Private room,54,1,132,2019-06-23,4.03,1,70
15665485,Sunlit Jungle Apartment,8164085,Lyles,Queens,Ridgewood,40.69692,-73.90008,Private room,56,2,9,2019-05-27,0.4,1,80
15671751,"Cozy, Colorful Private Room on the Upper East Side",30653537,Rachel,Manhattan,East Harlem,40.78941,-73.94881,Private room,60,1,8,2017-05-14,0.25,1,0
15672618,Beautiful Brooklyn bdrm in Prime Williamsburg,22963797,Lisa,Brooklyn,Williamsburg,40.71089,-73.96627,Private room,90,2,73,2019-06-23,2.31,1,338
15672772,Williamsburg/Bedstuy Creative Loft,2394687,Nkoli,Brooklyn,Williamsburg,40.70005,-73.95101,Entire home/apt,260,1,1,2018-10-06,0.11,1,88
15675274,Beautiful Upper East Side Studio,62641421,Tammy,Manhattan,Upper East Side,40.7754,-73.95236,Entire home/apt,125,2,8,2018-07-29,0.26,1,0
15677846,Long Island City Apartment,101262037,Israel,Queens,Long Island City,40.75378,-73.93449,Private room,65,1,5,2019-04-27,0.15,1,66
15678054,1br wburg w/ views of NYC + doorman,99145869,Sophie,Brooklyn,Williamsburg,40.71822,-73.95134,Entire home/apt,120,30,6,2018-09-24,0.29,1,164
15678122,"Lovely Room in Greenpoint, Brooklyn",11262790,Kajsa,Brooklyn,Greenpoint,40.72474,-73.94859,Private room,55,5,3,2016-12-30,0.09,1,0
15678623,"Spacious and Homey 2 bedroom, Express Subway Stop",3137269,Rosy,Brooklyn,Crown Heights,40.67587,-73.93175,Entire home/apt,130,3,7,2017-05-08,0.21,1,0
15679326,豪华套间,101276529,Tracy,Queens,Flushing,40.75558,-73.83343,Private room,96,1,73,2019-06-19,2.3,1,343
