id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11589391,"Beautiful, light filled, spacious",17862696,Shahla,Brooklyn,Gowanus,40.6717,-73.99247,Entire home/apt,295,4,2,2017-04-30,0.07,1,326
11589713,Williamsburg Loft,15524268,Joseph,Brooklyn,Williamsburg,40.71117,-73.95197,Private room,65,1,0,,,1,0
11589895,Park Avenue Studio Suite,50760546,CRNY Monthly Rentals,Manhattan,Midtown,40.74596,-73.98195,Entire home/apt,110,30,4,2018-04-02,0.14,31,126
11590055,Park Avenue 3 Bedroom Apartment,50760546,CRNY Monthly Rentals,Manhattan,Midtown,40.7455,-73.98112,Entire home/apt,215,30,2,2017-02-19,0.06,31,125
11591118,"Bay RIdge, Brooklyn NY",49413208,Sotira,Brooklyn,Fort Hamilton,40.61731,-74.0344,Entire home/apt,100,15,3,2018-08-27,0.14,2,365
11591276,Condo w/ Balcony UES nr Lex subway,23387829,Auroni,Manhattan,Upper East Side,40.76105,-73.96222,Entire home/apt,450,1,0,,,1,0
11591364,"Heart of Williamsburg, Floor thru!",2487433,Octavio,Brooklyn,Williamsburg,40.71826,-73.95795,Entire home/apt,95,30,11,2019-06-11,0.28,1,32
11591798,3rd Floor 3br Timeless Brooklyn Apt,51528392,Kevin,Brooklyn,Crown Heights,40.67169,-73.94612,Entire home/apt,140,4,130,2019-07-01,3.23,1,30
11593365,Historic Central Chinatown Apt,10703999,Evan,Manhattan,Chinatown,40.71469,-73.9995,Entire home/apt,220,4,0,,,1,0
11595172,LUXURY 2 BR 2 BATH -WASHER/DRYER/DOORMAN-E 52nd ST,2856748,Ruchi,Manhattan,Midtown,40.75615,-73.9649,Entire home/apt,355,30,0,,,49,364
11595739,CHIC STUDIOS ON E 54TH~PRIME LOCATION~SUTTON PLACE,2856748,Ruchi,Manhattan,Midtown,40.75505,-73.96484,Entire home/apt,185,30,0,,,49,364
11596767,CITY VIEWS & BALCONY~GORGEOUS 2BR IN MURRAY HILL,2856748,Ruchi,Manhattan,Murray Hill,40.74754,-73.97199,Entire home/apt,297,30,1,2016-06-30,0.03,49,311
11602050,Museum Mile 1 BR - Madison Ave,61391963,Corporate Housing,Manhattan,Upper East Side,40.78465,-73.95735,Entire home/apt,133,30,7,2019-01-19,0.22,91,311
11602485,Private Room in mid town west,39123185,Eva,Manhattan,Hell's Kitchen,40.76714,-73.99229,Private room,100,1,0,,,1,0
11602574,Elegant 2 Bedroom with light & amenities!,16899697,Martín,Manhattan,Lower East Side,40.71854,-73.98362,Private room,250,2,2,2017-01-02,0.07,1,0
11603201,"1 bedroom in Astoria, Queens",7982432,Joe,Queens,Long Island City,40.76485,-73.93959,Private room,65,1,1,2016-04-18,0.03,1,0
11603743,Chic Room with Exposed Brick,13031745,Madeline,Brooklyn,Williamsburg,40.70878,-73.94071,Private room,50,3,3,2018-07-01,0.07,3,0
11603913,Doorman Gym Roofdeck Design 5129,16098958,Jeremy & Laura,Manhattan,Upper West Side,40.7906,-73.97267,Entire home/apt,135,30,2,2019-03-18,0.06,96,313
11604307,Great Room in Sunny Apt in Brooklyn,14933972,Javier,Brooklyn,Bedford-Stuyvesant,40.68023,-73.93586,Private room,80,2,77,2019-06-08,1.91,3,12
11604885,LARGE Loft,28369674,Ramond,Brooklyn,Williamsburg,40.70357,-73.93444,Private room,69,3,66,2019-07-02,1.9,2,91
11605693,Noir Apartment in Chinatown - Private Room,61420312,Jay,Manhattan,Two Bridges,40.71222,-73.99566,Private room,75,2,25,2019-06-10,1.04,1,271
