id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7515694,A charming Parisian style apartment,1825554,Chris,Manhattan,Chelsea,40.7394,-73.99838,Entire home/apt,210,1,10,2019-01-01,0.22,1,6
7516218,Modern 1 Bedroom in Dumbo / Vinegar Hill,60046,John,Brooklyn,Vinegar Hill,40.70146,-73.98188,Entire home/apt,225,30,23,2019-06-11,0.49,1,268
7516992,Bedroom in Midtown Apartment,29544115,Chisom,Manhattan,Midtown,40.75737,-73.96916,Private room,70,1,1,2015-08-24,0.02,1,0
7517579,Super Cute Brooklyn Loft,15772306,Jasmine,Brooklyn,Clinton Hill,40.69188,-73.9607,Private room,45,5,0,,,1,0
7517614,"Cute, Eclectic, & Family Friendly",39389693,Sara,Manhattan,Washington Heights,40.8327,-73.94486,Entire home/apt,120,1,3,2015-09-19,0.06,1,0
7518327,"13 Essex St, 202",39394883,文立,Manhattan,Chinatown,40.71612,-73.99121,Entire home/apt,150,1,0,,,1,0
7519160,Comfy room (only) in my apt - UWS,397423,Travis,Manhattan,Upper West Side,40.77778,-73.9781,Private room,133,2,183,2019-07-01,3.9,1,263
7524934,Large light-filled master bedroom.,39298265,Julia,Manhattan,Harlem,40.80313,-73.95742,Private room,60,2,1,2015-07-25,0.02,1,0
7526715,Spacious Bedroom in Central Harlem,11203708,Elizabeth,Manhattan,Harlem,40.81189,-73.94148,Private room,64,2,20,2018-12-09,0.42,1,0
7528664,"Small & Cozy Bedroom, L.E.S",20245055,Sade,Manhattan,Lower East Side,40.71289,-73.98877,Private room,69,3,27,2019-06-21,0.56,2,261
7529231,"Small One Bedroom, Brooklyn Apt",39457267,Mike,Brooklyn,Bedford-Stuyvesant,40.68887,-73.95393,Private room,40,1,2,2015-09-03,0.04,1,0
7531309,Studio in the Heart of Wall Street,810560,Jen,Manhattan,Financial District,40.70552,-74.00841,Entire home/apt,190,1,3,2015-07-25,0.06,1,0
7534543,Garden apt with private entrance,12215421,Brian,Brooklyn,Park Slope,40.66889,-73.97617,Entire home/apt,275,2,60,2018-10-28,1.26,1,0
7535342,2 BR in Times Sq: The heart of NYC,16387794,Layka,Manhattan,Hell's Kitchen,40.7603,-73.99222,Entire home/apt,200,3,203,2019-06-29,4.27,1,271
7535450,Upper East Side private bedroom near Central Park,39480845,Jen,Manhattan,East Harlem,40.79042,-73.94641,Private room,75,4,37,2017-03-04,0.77,1,0
7535791,"Big, bright loft in Williamsburg",39483454,Laura,Brooklyn,Williamsburg,40.7129,-73.95565,Entire home/apt,180,14,2,2015-08-05,0.04,1,0
7539610,"Private room, shared bathroom.",39503857,Craig,Manhattan,Harlem,40.82034,-73.94345,Private room,200,1,0,,,1,0
7541249,Cozy room in sunny BK apt,31086628,Lindsay,Brooklyn,Gowanus,40.67758,-73.98519,Private room,59,2,96,2019-07-03,2.07,1,41
7541444,Beautiful treeline BK apartment!,1110017,Bettina,Brooklyn,Greenpoint,40.72402,-73.9415,Entire home/apt,149,5,2,2016-10-14,0.04,1,0
7542500,Cozy Brooklyn Apartment,9646150,Lila (Eli),Brooklyn,Prospect-Lefferts Gardens,40.65736,-73.96094,Private room,55,1,107,2019-06-23,2.22,2,46
7542840,Room in Upper West Side Manhattan,31799541,Eugene,Manhattan,Upper West Side,40.79452,-73.97065,Private room,75,1,12,2017-02-19,0.27,1,0
7543993,Triplex with private garden,7753501,B,Manhattan,Harlem,40.80772,-73.951,Entire home/apt,400,2,1,2015-08-12,0.02,1,0
7544709,Cool 1 Bdrm Apt in Lower East Side,39533449,Arthur,Manhattan,Lower East Side,40.71281,-73.98705,Entire home/apt,169,4,68,2019-05-27,2.54,1,44
7545060,Perfect UWS Studio Sanctuary!,24265578,Jasmine,Manhattan,Upper West Side,40.79955,-73.96369,Entire home/apt,125,2,7,2016-10-23,0.15,1,0
